Date,AAPL,GOOG,GS,IBM,MSFT,SPY,T,^GSPC
2013-04-29,13.267374038696289,20.400035858154297,122.14580535888672,127.81571197509766,27.044189453125,132.38763427734375,13.318659782409668,1593.6099853515625
2013-04-30,13.657883644104004,20.53727149963379,122.95390319824219,129.991455078125,27.45055389404297,132.70343017578125,13.375792503356934,1597.5699462890625
2013-05-01,13.550232887268066,20.434158325195312,120.04146575927734,128.1238250732422,27.13541603088379,131.5399169921875,13.411499977111816,1582.699951171875
2013-05-02,13.742402076721191,20.66280174255371,120.93368530273438,129.8951873779297,27.50031852722168,132.7615966796875,13.411499977111816,1597.5899658203125
2013-05-03,13.879971504211426,21.06404685974121,122.36463928222656,131.25576782226562,27.77399444580078,134.10794067382812,13.332942008972168,1614.4200439453125
2013-05-06,14.210953712463379,21.45831871032715,124.95726776123047,130.1454620361328,27.989614486694336,134.44866943359375,13.243677139282227,1617.5
2013-05-07,14.147713661193848,21.35072135925293,125.68953704833984,130.69100952148438,27.624713897705078,135.13009643554688,13.397216796875,1625.9599609375
2013-05-08,14.307497024536133,21.759191513061523,126.48082733154297,132.07093811035156,27.359331130981445,135.74513244628906,13.507905006408691,1632.68994140625
2013-05-09,14.18267822265625,21.705642700195312,125.03304290771484,131.0520782470703,27.08564567565918,135.36282348632812,13.32937240600586,1626.6700439453125
2013-05-10,14.064684867858887,21.923574447631836,125.50440979003906,131.84518432617188,27.11054039001465,135.8033447265625,13.340087890625,1633.699951171875
2013-05-13,14.119641304016113,21.856327056884766,125.95048522949219,130.5556182861328,27.392498016357422,135.9113006591797,13.211539268493652,1633.77001953125
2013-05-14,13.781819343566895,22.094684600830078,130.066650390625,131.03274536132812,28.002151489257812,137.31578063964844,13.29366397857666,1650.3399658203125
2013-05-15,13.315760612487793,22.81174659729004,130.984130859375,131.1037139892578,28.269397735595703,138.05543518066406,13.400787353515625,1658.780029296875
2013-05-16,13.49367618560791,22.512367248535156,130.02456665039062,131.98707580566406,28.461490631103516,137.40721130371094,13.347227096557617,1650.469970703125
2013-05-17,13.452692031860352,22.644622802734375,133.1474609375,134.40512084960938,29.12122917175293,138.7369384765625,13.368647575378418,1667.469970703125
2013-05-20,13.752944946289062,22.628433227539062,133.7535400390625,133.86346435546875,29.2966251373291,138.7285919189453,13.290095329284668,1666.2900390625
2013-05-21,13.651411056518555,22.58957862854004,135.29391479492188,134.54055786132812,29.104534149169922,138.92803955078125,13.190115928649902,1669.1600341796875
2013-05-22,13.70388412475586,22.152467727661133,134.12380981445312,133.47012329101562,28.904104232788086,137.89755249023438,13.075855255126953,1655.3499755859375
2013-05-23,13.728416442871094,21.987335205078125,132.49929809570312,132.93492126464844,28.519941329956055,137.4986572265625,13.11870002746582,1650.510009765625
2013-05-24,13.821874618530273,21.7514705657959,133.60195922851562,132.65121459960938,28.620159149169922,137.38226318359375,13.122274398803711,1649.5999755859375
2013-05-28,13.706680297851562,21.949478149414062,135.69613647460938,133.97952270507812,29.24651336669922,138.20504760742188,12.918747901916504,1660.06005859375
2013-05-29,13.815665245056152,21.62668800354004,137.5284881591797,134.06980895996094,29.129596710205078,137.30747985839844,12.822338104248047,1648.3599853515625
2013-05-30,14.021525382995605,21.68770980834961,138.7781524658203,134.99838256835938,29.254850387573242,137.81443786621094,12.675935745239258,1654.4100341796875
2013-05-31,13.96408462524414,21.69916534423828,136.86138916015625,134.13427734375,29.146303176879883,135.83656311035156,12.493829727172852,1630.739990234375
2013-06-03,13.994826316833496,21.609750747680664,138.1111297607422,134.73397827148438,29.7225399017334,136.58450317382812,12.52239990234375,1640.4200439453125
2013-06-04,13.951042175292969,21.39729881286621,136.5236358642578,132.9542694091797,29.22145652770996,135.9279327392578,12.736639976501465,1631.3800048828125
2013-06-05,13.820631980895996,21.412242889404297,133.6695556640625,130.72970581054688,29.046070098876953,134.02479553222656,12.59024429321289,1608.9000244140625
2013-06-06,13.61414909362793,21.535280227661133,134.83482360839844,131.4132080078125,29.196395874023438,135.2381591796875,12.786625862121582,1622.56005859375
2013-06-07,13.718168258666992,21.911121368408203,140.1798858642578,133.05743408203125,29.789342880249023,136.9584503173828,12.658085823059082,1643.3800048828125
2013-06-10,13.627500534057617,22.172391891479492,141.42965698242188,132.19985961914062,29.622325897216797,136.9584503173828,12.85090160369873,1642.81005859375
2013-06-11,13.58745002746582,21.913114547729492,137.9000244140625,131.52923583984375,29.0961856842041,135.54562377929688,12.768778800964355,1626.1300048828125
2013-06-12,13.419468879699707,21.718095779418945,136.6756591796875,129.7366943359375,29.22979736328125,134.42372131347656,12.718786239624023,1612.52001953125
2013-06-13,13.536523818969727,21.84312629699707,140.01950073242188,131.3938446044922,28.995969772338867,136.4680938720703,12.961591720581055,1636.3599853515625
2013-06-14,13.353021621704102,21.794309616088867,137.5706787109375,130.38148498535156,28.728727340698242,135.6121368408203,12.822338104248047,1626.72998046875
2013-06-17,13.413568496704102,22.07351303100586,138.5755615234375,130.92312622070312,29.22979736328125,136.6592559814453,12.768778800964355,1639.0400390625
2013-06-18,13.406426429748535,22.431421279907227,138.60931396484375,132.10311889648438,29.213090896606445,137.73963928222656,12.915172576904297,1651.81005859375
2013-06-19,13.134114265441895,22.43291664123535,136.42227172851562,130.21383666992188,28.88739776611328,135.83656311035156,12.586671829223633,1628.9300537109375
2013-06-20,12.942848205566406,22.035903930664062,131.22921752929688,127.25416564941406,27.968748092651367,132.47068786621094,12.265311241149902,1588.18994140625
