Date,AAPL,GOOG,GS,IBM,MSFT,SPY,T,^GSPC
2015-06-22,28.580406188964844,26.750492095947266,177.05303955078125,104.31110382080078,40.08559799194336,178.61773681640625,12.784441947937012,2122.85009765625
2015-06-23,28.450510025024414,26.864315032958984,178.5986328125,104.86458587646484,39.808128356933594,178.74424743652344,13.10186767578125,2124.199951171875
2015-06-24,28.69239044189453,26.733095169067383,175.3521270751953,103.83844757080078,39.57400894165039,177.4459991455078,13.054431915283203,2108.580078125
2015-06-25,28.555776596069336,26.60336685180664,174.03553771972656,103.28498840332031,39.58268737792969,176.9065704345703,13.2003755569458,2102.31005859375
2015-06-26,28.387798309326172,26.427412033081055,174.32171630859375,102.89937591552734,39.2445182800293,176.8728485107422,13.178484916687012,2101.489990234375
2015-06-29,27.890586853027344,25.921916961669922,169.8076629638672,101.35084533691406,38.472808837890625,173.1637725830078,13.050782203674316,2057.639892578125
2015-06-30,28.092166900634766,25.871715545654297,170.7399444580078,101.15806579589844,38.28205108642578,173.52621459960938,12.959572792053223,2063.110107421875
2015-07-01,28.354198455810547,25.93781852722168,171.6803741455078,102.29615783691406,38.542179107666016,174.91708374023438,12.977813720703125,2077.419921875
2015-07-02,28.31836700439453,26.01535987854004,171.07525634765625,102.66928100585938,38.49882888793945,174.75694274902344,13.0361909866333,2076.780029296875
2015-07-06,28.21982192993164,25.9885196685791,170.12669372558594,102.4454116821289,38.49015808105469,174.25961303710938,12.99240779876709,2068.760009765625
2015-07-07,28.1503963470459,26.09588050842285,170.26565551757812,102.6133041381836,38.41211700439453,175.35546875,13.050782203674316,2081.340087890625
2015-07-08,27.451614379882812,25.688800811767578,166.87193298339844,101.46904754638672,38.36009216308594,172.4134979248047,12.917956352233887,2046.6800537109375
2015-07-09,26.89170265197754,25.880165100097656,167.48533630371094,101.8980941772461,38.60287094116211,172.725341796875,12.76943302154541,2051.31005859375
2015-07-10,27.61063003540039,26.349872589111328,169.43157958984375,103.82601928710938,38.680908203125,174.90023803710938,12.865976333618164,2076.6201171875
2015-07-13,28.143672943115234,27.1660213470459,171.82760620117188,105.33719635009766,39.487308502197266,176.8306427001953,12.951377868652344,2099.60009765625
2015-07-14,28.132476806640625,27.889223098754883,173.49575805664062,104.85835266113281,39.556671142578125,177.59776306152344,13.040487289428711,2108.949951171875
2015-07-15,28.403474807739258,27.845481872558594,174.1500244140625,104.80860900878906,39.678062438964844,177.53875732421875,12.895679473876953,2107.39990234375
2015-07-16,28.781978607177734,28.821182250976562,172.69439697265625,106.34468841552734,40.458457946777344,178.96336364746094,13.055343627929688,2124.2900390625
2015-07-17,29.030582427978516,33.44768524169922,173.74114990234375,107.28373718261719,40.42376708984375,179.11508178710938,12.999645233154297,2126.639892578125
2015-07-20,29.579301834106445,32.955108642578125,173.68389892578125,107.72532653808594,40.68389892578125,179.20785522460938,12.958800315856934,2128.280029296875
2015-07-21,29.283660888671875,32.91933059692383,172.95606994628906,101.41302490234375,40.99604034423828,178.49969482421875,12.83626937866211,2119.2099609375
2015-07-22,28.045133590698242,32.909385681152344,174.38719177246094,99.72148895263672,39.487308502197266,178.17938232421875,12.724871635437012,2114.14990234375
2015-07-23,28.03169059753418,32.023643493652344,172.58811950683594,100.57970428466797,39.98155212402344,177.17626953125,12.598630905151367,2102.14990234375
2015-07-24,27.883874893188477,30.9937686920166,169.5623321533203,99.3483657836914,39.834144592285156,175.33860778808594,12.732306480407715,2079.64990234375
2015-07-27,27.49640655517578,31.177675247192383,167.65701293945312,98.9254379272461,39.32255935668945,174.318603515625,12.743443489074707,2067.639892578125
2015-07-28,27.633028030395508,31.21445655822754,168.65467834472656,99.53492736816406,39.31390380859375,176.45973205566406,12.747153282165527,2093.25
2015-07-29,27.54567527770996,31.4097957611084,169.1453094482422,100.18167114257812,40.13762664794922,177.6736297607422,12.880828857421875,2108.570068359375
2015-07-30,27.406816482543945,31.442598342895508,169.4397735595703,100.10084533691406,40.649200439453125,177.71580505371094,12.921671867370605,2108.6298828125
2015-07-31,27.167177200317383,31.09566307067871,167.69790649414062,100.74137878417969,40.49312973022461,177.4459991455078,12.899393081665039,2103.840087890625
2015-08-03,26.52663230895996,31.374006271362305,167.3871612548828,98.70157623291016,40.58850860595703,176.84750366210938,12.869688987731934,2098.0400390625
2015-08-04,25.67555809020996,31.276586532592773,167.7796630859375,98.01126861572266,41.22148132324219,176.5019073486328,12.839982986450195,2093.320068359375
2015-08-05,25.84577178955078,31.99879264831543,168.21307373046875,98.19784545898438,41.25617218017578,177.08358764648438,12.83626937866211,2099.840087890625
2015-08-06,25.90201187133789,31.944122314453125,167.7143096923828,98.0222396850586,40.42376708984375,175.6336212158203,12.713737487792969,2083.56005859375
2015-08-07,25.989763259887695,31.577299118041992,166.3649444580078,97.26979064941406,40.52782440185547,175.29644775390625,12.702595710754395,2077.570068359375
2015-08-10,26.93467903137207,31.499263763427734,168.4338836669922,98.29190063476562,41.03940200805664,177.50498962402344,12.914246559143066,2104.179931640625
2015-08-11,25.533048629760742,32.84376907348633,164.94204711914062,97.51433563232422,40.241668701171875,175.90338134765625,12.865976333618164,2084.070068359375
2015-08-12,25.926759719848633,32.78313064575195,164.4759521484375,97.92192840576172,40.52782440185547,176.11410522460938,12.632044792175293,2086.050048828125
2015-08-13,25.906517028808594,32.62854766845703,164.15701293945312,97.23841857910156,40.519142150878906,175.89498901367188,12.554065704345703,2083.389892578125
2015-08-14,26.08875846862793,32.6618537902832,165.20367431640625,97.66482543945312,40.75325393676758,176.53558349609375,12.643187522888184,2091.5400390625
