symbol,name
^SSMI,Index
ABBN.VX,ABB N
ADEN.VX,ADECCO N
ATLN.VX,ACTELION N
BAER.VX,JULIUS BAER GRP N
CFR.VX,RICHEMONT N
CSGN.VX,CS GROUP N
GEBN.VX,GEBERIT N
GIVN.VX,GIVAUDAN N
HOLN.VX,HOLCIM N
NESN.VX,NESTLE N
NOVN.VX,NOVARTIS N
RIGN.VX,TRANSOCEAN N
ROG.VX,ROCHE HLDG DR
SCMN.VX,SWISSCOM REG
SGSN.VX,SGS REG
SREN.VX,SWISS RE N
SYNN.VX,SYNGENTA N
UBSN.VX,UBS N
UHR.VX,THE SWATCH GRP
ZURN.VX,ZURICH INSUR GRP N
